Feature,Importance
Ingresos_Anuales,0.3078280364035541
HistorialCredito,0.269170186680843
Edad,0.24378257597091463
Telefono,0.1075967276086235
CodigoPostal,0.04517212334010484
Casado_si,0.0037548319421855684
Casado_no,0.003675590039576221
Casado_No,0.0030890319459099514
Genero_masculino,0.0030710160022003434
Genero_femenino,0.003060705123559789
Pais_Perú,0.0023119724085139634
Pais_Colombia,0.0022555004458933727
Pais_México,0.001907713640839891
Pais_Argentina,0.001859651125931361
Pais_Chile,0.0014643373213494002
